s,label,comment
http://psi.udir.no/ontologi/kl06/Utdanningsprogram,Eeducation programme,"Educational pathway in upper secondary education leading to university and college admissions certification and or vocational qualifications or trade- or journeyman's certificate (certificate awarded on successful completion of a vocational training course, and entitling the holder to practice the trade concerned) cf. Circular Udir-1-[a given year]"
http://psi.udir.no/ontologi/kl06/Utdanningsprogram,Eeducation programme,Utdanningsløp i videregående utdanning som fører fram til studie- og eller yrkeskompetanse/fag- eller svennebrev jf. Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/Utdanningsprogram,Utdanningsprogram,"Educational pathway in upper secondary education leading to university and college admissions certification and or vocational qualifications or trade- or journeyman's certificate (certificate awarded on successful completion of a vocational training course, and entitling the holder to practice the trade concerned) cf. Circular Udir-1-[a given year]"
http://psi.udir.no/ontologi/kl06/Utdanningsprogram,Utdanningsprogram,Utdanningsløp i videregående utdanning som fører fram til studie- og eller yrkeskompetanse/fag- eller svennebrev jf. Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/Utdanningsprogramtype,Education programme type,"Element for ""utdanningsprogram"" (education programme) to determine whether the education program is either ""Studieforberedende utdanningsprogram"" (Programme for General Studies) or ""Studieforberedende utdanningsprogram"" (Vocational Education Programme)"
http://psi.udir.no/ontologi/kl06/Utdanningsprogramtype,Education programme type,Element for utdanningsprogram for å angi om utdanningsprogrammet enten er Studieforberedende utdanningsprogram eller Yrkesfaglig utdanningsprogram
http://psi.udir.no/ontologi/kl06/Utdanningsprogramtype,Utdanningsprogramtype,"Element for ""utdanningsprogram"" (education programme) to determine whether the education program is either ""Studieforberedende utdanningsprogram"" (Programme for General Studies) or ""Studieforberedende utdanningsprogram"" (Vocational Education Programme)"
http://psi.udir.no/ontologi/kl06/Utdanningsprogramtype,Utdanningsprogramtype,Element for utdanningsprogram for å angi om utdanningsprogrammet enten er Studieforberedende utdanningsprogram eller Yrkesfaglig utdanningsprogram
http://psi.udir.no/ontologi/kl06/Verb_lk20,Verb,"Bestanddel av læreplan som uttrykker anvendelse av kunnskaper og ferdigheter, og som i læreplanvisningen på udir.no er implementert slik at disse opptrer som ordforklaring til forekomster av utvalgte verb i læreplanens kompetansemål"
http://psi.udir.no/ontologi/kl06/Verb_lk20,Verb,"Part of the curriculum that expresses the application of knowledge and skills, and which in the curriculum presentation on udir.no serves as a glossary for occurrences of selected verbs in the curriculum's competence aims"
http://psi.udir.no/ontologi/kl06/Verb_lk20,Verb,"Bestanddel av læreplan som uttrykker anvendelse av kunnskaper og ferdigheter, og som i læreplanvisningen på udir.no er implementert slik at disse opptrer som ordforklaring til forekomster av utvalgte verb i læreplanens kompetansemål"
http://psi.udir.no/ontologi/kl06/Verb_lk20,Verb,"Part of the curriculum that expresses the application of knowledge and skills, and which in the curriculum presentation on udir.no serves as a glossary for occurrences of selected verbs in the curriculum's competence aims"
http://psi.udir.no/ontologi/kl06/Vurderingsuttrykk,Expression of assessment,"Element for ""vurderingsordning"" (examination-and-assesment) to specify whether it should be given numerical grades or whether to use other expressions of assessment"
http://psi.udir.no/ontologi/kl06/Vurderingsuttrykk,Expression of assessment,Element for vurderingsordning for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen
http://psi.udir.no/ontologi/kl06/Vurderingsuttrykk,Vurderingsuttrykk,"Element for ""vurderingsordning"" (examination-and-assesment) to specify whether it should be given numerical grades or whether to use other expressions of assessment"
http://psi.udir.no/ontologi/kl06/Vurderingsuttrykk,Vurderingsuttrykk,Element for vurderingsordning for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen
