s,label,comment
http://psi.udir.no/ontologi/kl06/erstatter,erstatter,Property for several types of elements to specify which element(s) of same type this element replaces
http://psi.udir.no/ontologi/kl06/erstatter,replaces,Egenskap for flere typer elementer for å angi hvilke(t) element(er) av samme type dette elementet erstatter
http://psi.udir.no/ontologi/kl06/erstatter,replaces,Property for several types of elements to specify which element(s) of same type this element replaces
http://psi.udir.no/ontologi/kl06/erstattes-av,erstattes av,Egenskap for flere typer elementer for å angi hvilke(t) element(er) dette elementet er erstattet av
http://psi.udir.no/ontologi/kl06/erstattes-av,erstattes av,Property for several type elements to specify which element(s) this element is replaced by
http://psi.udir.no/ontologi/kl06/erstattes-av,replaced by,Egenskap for flere typer elementer for å angi hvilke(t) element(er) dette elementet er erstattet av
http://psi.udir.no/ontologi/kl06/erstattes-av,replaced by,Property for several type elements to specify which element(s) this element is replaced by
http://psi.udir.no/ontologi/kl06/etter-aarstrinn,achieved after year level,"Egenskap for ""kompetansemaalsett"" for å angi etter hvilket årstrinn kompetansen skal være oppnådd"
http://psi.udir.no/ontologi/kl06/etter-aarstrinn,achieved after year level,"Property for ""kompetansemaalsett"" (competence aim set), indicating by what year the learner will have aquired the competences described by the set"
http://psi.udir.no/ontologi/kl06/etter-aarstrinn,etter årstrinn,"Egenskap for ""kompetansemaalsett"" for å angi etter hvilket årstrinn kompetansen skal være oppnådd"
http://psi.udir.no/ontologi/kl06/etter-aarstrinn,etter årstrinn,"Property for ""kompetansemaalsett"" (competence aim set), indicating by what year the learner will have aquired the competences described by the set"
http://psi.udir.no/ontologi/kl06/etter-fag,achieved after subject,"Egenskap for kompetansemaalsett for å angi opplæringsfag som et samleuttrykk for den totale kompetansen som skal være oppnåd, knyttet til det refererte opplæringsfagets fagkode-referanser"
http://psi.udir.no/ontologi/kl06/etter-fag,achieved after subject,"Property for ""kompetansemaalsett""/""kompetansemaalsett_lk20"" (competence-aim-set) to specify teaching-subject as a collective expression for the total competence that must be achieved in connection with the subject training subject's ""fagkode"" (subject-code) references"
http://psi.udir.no/ontologi/kl06/etter-fag,etter fag,"Egenskap for kompetansemaalsett for å angi opplæringsfag som et samleuttrykk for den totale kompetansen som skal være oppnåd, knyttet til det refererte opplæringsfagets fagkode-referanser"
http://psi.udir.no/ontologi/kl06/etter-fag,etter fag,"Property for ""kompetansemaalsett""/""kompetansemaalsett_lk20"" (competence-aim-set) to specify teaching-subject as a collective expression for the total competence that must be achieved in connection with the subject training subject's ""fagkode"" (subject-code) references"
http://psi.udir.no/ontologi/kl06/fagkategori,Fagkategori,"Attribute for ""fagomraade"" (subject area) to specify a hierarchically parent academic content category (for statistical purposes)"
http://psi.udir.no/ontologi/kl06/fagkategori,Fagkategori,Egenskap for fagområde for å angi hierarkisk overordnet faglig innholdskategori (for statistisk bruk)
http://psi.udir.no/ontologi/kl06/fagkategori,subject category,"Attribute for ""fagomraade"" (subject area) to specify a hierarchically parent academic content category (for statistical purposes)"
http://psi.udir.no/ontologi/kl06/fagkategori,subject category,Egenskap for fagområde for å angi hierarkisk overordnet faglig innholdskategori (for statistisk bruk)
http://psi.udir.no/ontologi/kl06/fagkode-referanser,fagkodereferanse(r),"Connection between ""opplaeringsfag"" (teaching subject) and ""fagkode"" (subject code)"
http://psi.udir.no/ontologi/kl06/fagkode-referanser,fagkodereferanse(r),Kobling mellom fagkode og opplæringsfag
http://psi.udir.no/ontologi/kl06/fagkode-referanser,subject code reference(s),"Connection between ""opplaeringsfag"" (teaching subject) and ""fagkode"" (subject code)"
http://psi.udir.no/ontologi/kl06/fagkode-referanser,subject code reference(s),Kobling mellom fagkode og opplæringsfag
http://psi.udir.no/ontologi/kl06/fagomraade-referanser,fagområdereferanse(r),"Connection between ""opplaeringsfag"" (teaching subject) and ""fagomraade"" (subject area)"
http://psi.udir.no/ontologi/kl06/fagomraade-referanser,fagområdereferanse(r),Kobling mellom opplæringsfag og fagområde
http://psi.udir.no/ontologi/kl06/fagomraade-referanser,subject area reference(s),"Connection between ""opplaeringsfag"" (teaching subject) and ""fagomraade"" (subject area)"
http://psi.udir.no/ontologi/kl06/fagomraade-referanser,subject area reference(s),Kobling mellom opplæringsfag og fagområde
http://psi.udir.no/ontologi/kl06/fagtype,fagtype,Grouping subjects according to Circular Udir-1-[a certain year]
http://psi.udir.no/ontologi/kl06/fagtype,fagtype,Gruppering av fag etter Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/fagtype,subject type,Grouping subjects according to Circular Udir-1-[a certain year]
http://psi.udir.no/ontologi/kl06/fagtype,subject type,Gruppering av fag etter Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/fastsatt-spraak,determination language,"Attribute for ""laereplan"" and ""laereplan_lk20"" (curriculum) to specify the original language / language form for the curriculum"
http://psi.udir.no/ontologi/kl06/fastsatt-spraak,determination language,"Egenskap for ""laereplan"" og ""laereplan_lk20"" for å angi hvilket språk/målform læreplanen er fastsatt på"
http://psi.udir.no/ontologi/kl06/fastsatt-spraak,fastsatt-språk,"Attribute for ""laereplan"" and ""laereplan_lk20"" (curriculum) to specify the original language / language form for the curriculum"
http://psi.udir.no/ontologi/kl06/fastsatt-spraak,fastsatt-språk,"Egenskap for ""laereplan"" og ""laereplan_lk20"" for å angi hvilket språk/målform læreplanen er fastsatt på"
http://psi.udir.no/ontologi/kl06/foerste-semester,first semester,Egenskap som brukes av flere grep-typer for å angi første mulige semester elementet gjelder for
http://psi.udir.no/ontologi/kl06/foerste-semester,first semester,"Property used by several grep-types to enter the first possible ""semester"" the element applies"
http://psi.udir.no/ontologi/kl06/foerste-semester,første semester,Egenskap som brukes av flere grep-typer for å angi første mulige semester elementet gjelder for
http://psi.udir.no/ontologi/kl06/foerste-semester,første semester,"Property used by several grep-types to enter the first possible ""semester"" the element applies"
